How have these changes impacted your quality of life?,,,,,,,,,,,,,,,,,,,,,,
Response,Topic,Subtopic,,Topic,Subtopic,Count,,Topic,Insights,Exemplar_1,Exemplar_2,Summary,,,,,,Prep data for dropdown,,,,
Still have some issues,Low Content,Low Content,,Low Content,Low Content,8,,Negative impact on quality of life,"Some respondents report a negative impact on their quality of life as a result of their organization's remote work policy. The main reasons include increased commute time as a result of returning to the office, worse work/life balance, and decreased productivity.",For the most part my quality of life has decreased. Work isn’t the point of my life. I had more flexibility working from home and still got my work done. Now I struggle to fit everything I want to do in my schedule and am always tired.,"Poorly, I enjoyed flex work even before pandemic and while wfh it was fine but now the return to office does not have the original flex environment as it once did",,,,,,,Low Content,,,,
From better to best,Low Content,Low Content,,Negative impact on quality of life,Increased commute time - RTO negatively affecting work/life quality,9,,No impact or change,"For many there was no impact or change.  Some roles cant be executed remotely and for others its keep calm and carry on, remote or otherwise.",No change for me in that I continue to have quite a bit of flexibility around balancing work and life.,Quality of life is the same,,,,,,,Low Content,,,,
Heavy work,Low Content,Low Content,,Negative impact on quality of life,Negative impact on interactions and collaborations,5,,Positive impact on quality of life,"Respondents have largely benefited from the shift to remote work, particularly in terms of improved work-life balance, additional personal time gained by eliminating commutes, and the autonomy to manage their own time and work from a location of their choosing. ",Significant improvement in productivity due to less time on road communing. Ability to work more seamlessly across timezones as we adopted a hybrid work policy. I do not need to be in office to take an off hour meeting with someone across the timezones. So more productive. Ability to connect increased professionally as no need to be at work. But personal relationships and getting to know people and have fun have reduced significantly. Social life reduced.,"For me, it has been very positive.  I have a good work-from-home setup that my company funded and I am fortunate enough to have a space that allows me to work and take meetings without distractions.",,,,,,,Low Content,,,,
I don't work,Low Content,Low Content,,Negative impact on quality of life,Negative impact on physical and mental health,4,,,,,,,,,,,,Low Content,,,,
Smooth and happy,Low Content,Low Content,,Negative impact on quality of life,Negative impact on work-life balance,6,,,,,,,,,,,,Low Content,,,,
bye,Low Content,Low Content,,No impact or change,No impact or change,31,,,,,,,,,,,,Low Content,,,,
I dont like being forced to RTO,Low Content,Low Content,,Positive impact on quality of life,Increased productivity levels due to hybrid/remote policy,9,,,,,,,,,,,,Low Content,,,,
test,Low Content,Low Content,,Positive impact on quality of life,Increased productivity/work quality due to RTO,4,,,,,,,,,,,,Low Content,,,,
I enjoyed the work from home. There was no commuting . And now I have to deal with that commuting and less family time.,Negative impact on quality of life,Increased commute time - RTO negatively affecting work/life quality,,Positive impact on quality of life,Positive impact on physical and mental health,7,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
It decreases quality of life by increasing commute; I feel commute time is of no good use,Negative impact on quality of life,Increased commute time - RTO negatively affecting work/life quality,,Positive impact on quality of life,Positive impact on work-life balance due to hyrbrid/remote policy,61,,,,,,,,,,,,Increased commute time - RTO negatively affecting work/life quality,Negative impact on interactions and collaborations,Negative impact on physical and mental health,Negative impact on work-life balance,
